,평점,일시,감상평
171,10,2017.03.16 10:15,화성남자와 지구소녀의 로맨스! 소재로 벌써 반은 먹고 감 ㅎㅎ 영상이 이쁘고 둘만 봐도 설렌다
172,5,2017.03.16 15:32,아름다운 영상미와 적절한 개연성 몰입도 다만 아쉬운부분은 여주와 남주의 나이차이..?
173,8,2020.06.06 18:28,
174,9,2020.05.31 15:50,오랜만에 뭉클한 감동과 재미를 선사함. 아 진짜 좋네요~~
175,8,2020.05.30 20:14,내 여자친구는 도둑년.
176,8,2020.05.20 22:48,큰 스케일에 소박한 스토리
177,10,2020.04.17 12:05,
178,7,2020.03.29 02:18,"공간의 제약은 문제되지않는 순수한 10대들의 사랑. 가볍게 보기에 나쁘지 않았다. 아무것도 모른채, 경험해보지 못한 그때의 풋풋한 첫느낌,첫사랑의 경험.."
179,10,2020.03.15 02:57,
180,8,2020.03.12 20:17,
181,10,2020.03.07 00:22,모든게 너무나 아름답다
182,9,2020.02.27 23:35,신선한 내용.. 동화 어린왕자가 생각나내 근대 브릿 로버트슨에게 미안하지만.. 미성연 연기인대.. 너무 삭았다.. 분장좀 잘하지
183,7,2020.02.24 15:40,스토리는 미흡하지만 주연들의 연기가 탄탄해서 나름 볼만했던 영화
184,6,2020.02.16 01:33,
185,10,2020.02.10 00:06,소재도 연출도 볼만한영화~~
186,10,2020.02.09 03:42,좋다
187,8,2020.02.09 00:16,갖혀 살던 공주님이 세상 밖으로 나와서 남자주인공을 만나는 그런 스토리의 반대 상황에 SF 요소가 베이스로 깔린 영화라 생각하면 될듯...로맨스 말고의 감동도 있음....엔더스게임의 에이사버터필드 하나 믿고 본 영화...잘생김에 눈 호강 
188,6,2020.02.06 19:43,결말만 잘 만들어주지 그랬어... 작가가 쓰다가 도망갔나요?
189,8,2020.02.05 23:18,재밌고 신선했어요.  늘상 보는 지구가 이토록 아름다운지 새삼 실감하네요.화성 소년 시각에서 보니.짜안했네요.부모도 없는 화성으로 돌아가는 소년을 보고.
190,5,2020.02.03 12:27,그냥 특별히 볼 거 없을 때 보는 킬링타임용. 물음표 뜨는 장면이 너무 많고 점점 산으로 간다.
191,4,2020.01.22 03:13,영상미가 좋지만 영화는 그게 다가 아니잖아요..? 전개가 너무 이상해 두서가 없어 그치만 에이샤는 첨부터 끝까지 예쁩니다 그거땜에 끝까지 참고 봤어요
192,10,2019.12.15 00:59,평점좀 올리자 . 흥행은 생각 안하고
193,10,2019.10.15 15:00,간만에 재미있게 본 영화입니다
194,8,2019.09.19 09:31,여주인공이 엘르패닝 이었다면 참 좋았을 것을..
195,6,2019.09.19 09:15,화성에 돌아가야되나?무중력장치는 뒀다 뭐할려고
196,8,2019.09.19 08:48,이모와 소년의 풋풋한 사랑
